Program	Sku/ProductFamily	Countries/Region	VPID	Month
YETI	6GW62A	"US,PR,CA,AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,AU,NZ"	"NA_VP, EMEA_VP, ANZ_VP"	6
YETI	6GW99A	"US,PR,CA,AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,AU,NZ"	"NA_VP, EMEA_VP, ANZ_VP"	6
YETI	6GX00A	"US,PR,CA,AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,AU,NZ"	"NA_VP, EMEA_VP, ANZ_VP"	6
YETI	6GX01A	"US,PR,CA,AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,AU,NZ"	"NA_VP, EMEA_VP, ANZ_VP"	6
YETI	7MD66A	"AU,NZ"	ANZ_VP	6
YETI	7MD66A	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	7MD66A	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	7MD66A	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	7MD66A	"US,PR,CA"	NA_VP	6
YETI	7MD70A	"US,PR,CA"	NA_VP	6
YETI	7MD70A	"US,PR,CA"	NA_VP	6
YETI	7MD72A	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	7MD72A	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	7MD72A	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	7MD72A	"US,PR,CA"	NA_VP	6
YETI	9YF91A	"US,PR,CA,AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,AU,NZ"	"NA_VP, EMEA_VP, ANZ_VP"	6
YETI	9YG02A	"US,PR,CA,AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,AU,NZ"	"NA_VP, EMEA_VP, ANZ_VP"	6
YETI	9YG05A	"US,PR,CA,AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,AU,NZ"	"NA_VP, EMEA_VP, ANZ_VP"	6
YETI	1G5L3A	"US,PR,CA"	NA_VP	6
YETI	1G5L3A	"US,PR,CA"	NA_VP	6
YETI	1G5L4A	"US,PR,CA"	NA_VP	6
YETI	1G5L5A	"US,PR,CA"	NA_VP	6
YETI	1G5L5A	"US,PR,CA"	NA_VP	6
YETI	1G5L6A	"US,PR,CA"	NA_VP	6
YETI	1G5L7A	"US,PR,CA"	NA_VP	6
YETI	1G5L8A	"US,PR,CA"	NA_VP	6
YETI	1G5L9A	"US,PR,CA"	NA_VP	6
YETI	257F8A	"US,PR,CA"	NA_VP	6
YETI	257G2A	"US,PR,CA"	NA_VP	6
YETI	257G1A	"US,PR,CA"	NA_VP	6
YETI	257G3A	"US,PR,CA"	NA_VP	6
YETI	22A55B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	22A55B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	22A55B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	22A56B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	9
YETI	22A56B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	9
YETI	22A56B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	9
